Level,Name,School,Source,Restriction
6,Tenser's Transformation,Transmutation,Xanathar's Guide,
6,True Seeing,Divination,PHB 2024,
6,Wall of Ice,Evocation,PHB 2024,
7,Aura of Evasion,Abjuration,Arcana Unleashed,
7,Create Magen,Transmutation,Icewind Dale,
7,Crown of Stars,Evocation,Xanathar's Guide,
7,Delayed Blast Fireball,Evocation,PHB 2024,
7,Draconic Transformation,Transmutation,Fizban's,
7,Dream of the Blue Veil,Conjuration,Tasha's Cauldron,
7,Etherealness,Conjuration,PHB 2024,
7,Finger of Death,Necromancy,PHB 2024,
7,Forcecage,Evocation,PHB 2024,
7,Fractured Awareness,Divination,Arcana Unleashed,
7,Mirage Arcane,Illusion,PHB 2024,
7,Mordenkainen's Magnificent Mansion,Conjuration,PHB 2024,
7,Mordenkainen's Sword,Evocation,PHB 2024,
7,Plane Shift,Conjuration,PHB 2024,
7,Power Word Pain,Enchantment,Arcana Unleashed,
7,Prismatic Spray,Evocation,PHB 2024,
7,Project Image,Illusion,PHB 2024,
7,Reverse Gravity,Transmutation,PHB 2024,
7,Reweave Fate,Divination,Arcana Unleashed,
7,Sequester,Transmutation,PHB 2024,
7,Simbul's Synostodweomer,Transmutation,Heroes of Faerun,
7,Simulacrum,Illusion,PHB 2024,
7,Symbol,Abjuration,PHB 2024,
7,Teleport,Conjuration,PHB 2024,
7,Transfix,Enchantment,Arcana Unleashed,
7,Whirlwind,Evocation,Xanathar's Guide,
8,Abi-Dalzim's Horrid Wilting,Necromancy,Xanathar's Guide,
8,Antimagic Field,Abjuration,PHB 2024,
8,Antipathy/Sympathy,Enchantment,PHB 2024,
8,Befuddlement,Enchantment,PHB 2024,
8,Clone,Necromancy,PHB 2024,
8,Control Weather,Transmutation,PHB 2024,
8,Demiplane,Conjuration,PHB 2024,
8,Dominate Monster,Enchantment,PHB 2024,
8,Entrancing Mirrors,Illusion,Arcana Unleashed,
8,Holy Star of Mystra,Evocation,Heroes of Faerun,
8,Illusory Dragon,Illusion,Arcana Unleashed,
8,Incendiary Cloud,Conjuration,PHB 2024,
8,Iron Body,Transmutation,Arcana Unleashed,
8,Lightning Ring,Evocation,Arcana Unleashed,
8,Maddening Darkness,Evocation,Xanathar's Guide,
8,Maze,Conjuration,PHB 2024,
8,Mighty Fortress,Conjuration,Xanathar's Guide,
8,Mind Blank,Abjuration,PHB 2024,
8,Moment of Prescience,Divination,Arcana Unleashed,
8,Power Word Stun,Enchantment,PHB 2024,
8,Sunburst,Evocation,PHB 2024,
8,Telepathy,Divination,PHB 2024,
9,Astral Projection,Necromancy,PHB 2024,
9,Blade of Disaster,Conjuration,Heroes of Faerun,
9,Detonate,Evocation,Arcana Unleashed,
9,Foresight,Divination,PHB 2024,
9,Gate,Conjuration,PHB 2024,
9,Hindsight,Divination,Arcana Unleashed,
9,Imprisonment,Abjuration,PHB 2024,
9,Invulnerability,Abjuration,Arcana Unleashed,
9,Mass Polymorph,Transmutation,Xanathar's Guide,
9,Meteor Swarm,Evocation,PHB 2024,
9,Power Word Kill,Enchantment,PHB 2024,
9,Prismatic Wall,Abjuration,PHB 2024,
9,Psychic Scream,Enchantment,Xanathar's Guide,
9,Shapechange,Transmutation,PHB 2024,
9,Time Stop,Transmutation,PHB 2024,
9,True Polymorph,Transmutation,PHB 2024,
9,Vision of Elapsing Eons,Illusion,Arcana Unleashed,
9,Wail of the Banshee,Necromancy,Arcana Unleashed,
9,Weird,Illusion,PHB 2024,
9,Wish,Conjuration,PHB 2024,
